bank_name,address,city,state,phone,latitude,longitude
District Hospital Blood Bank Haveri,581110,Haveri,Karnataka,0837 5232222,14.785408,75.403059
Shripad Hegde Kadave Institute of Medical Sciences Blood Bank,"T.S.S. Hospital, 581401",Sirsi,Karnataka,0838 6221851,14.632385,74.848338
District Hospital Blood Bank Manjeri,676121,Manjeri,Kerala,0483 2766880,11.116071,76.120541
K. L. E. Society Blood Bank,"Dr. Kamal hospital & Medical Research Centre, 581301",Ankola,Karnataka,08388 230257,14.661796,74.309805
Shimoga Mid Town Rotary Charity Foundation Blood Bank,"Opposite Usha Nursing Home, 100 Feet Road, 577201",Shimoga,Karnataka,08182 274333,13.94626,75.57832
Mary Immaculate Mission Hospital Blood Bank,"Chuvakkad, 680615",Engandiyur,Kerala,0487 2290237,10.508889,76.057764
Government Woman and Child Hospital Blood Bank,673001,Kottapparamba,Kerala,04952 721998,11.250764,75.78275
Josgiri Hospital Blood Bank,"Thalasherry, Kannur, 670101",Thalasherry,Kerala,0490 2341130,11.759133,75.478803
A. J. Hospital and Research Centre Blood Bank,"Kuntikana, NH- 66, 575004",Mangalore,Karnataka,0824 2225535,12.899478,74.845975
P. V. S. Hospital Private Limited Blood Bank,673002,Kozhikode,Kerala,0495 2705045,11.242707,75.782934
Unity Hospital Private Limited Blood Bank,680503,Kunnamkulam,Kerala,04885 222811,10.635746,76.081869
National Hospital Blood Bank,673001,Kozhikode,Kerala,0495 2723061,11.259485,75.781234
Sara Memorial Medical laboratory and Blood Bank,"Brigade Centre Fort Road, 670001",Kannur,Kerala,0497 2767368,11.7494919,75.5229777
Subbaiah Medical College Blood Bank,"NH-13, Purle, Hjolehonnur, Road, 577201",Shimoga,Karnataka,08182 277505,13.932932,75.617172
Fr. Mullers Charitable Instituitions Blood Bank,"Post Box No.501, Kankanady, 575002",Mangalore,Karnataka,0824 2238126,12.866805,74.85933
Karnataka Hemophillia Society Life Line Blood Bank,"No.1138, Ring Road, S. Nijalingappa Layout, Behind KSFC Building, 577002",Davangere,Karnataka,08192 231948,14.457405,75.902533
Kannur Medical college and Hospital (Prestige educational Trust) Blood Bank,"Chovva Mathanur Road, 670612",Anjarakandy,Kerala,0497 2855001,11.875772,75.499253
Tellichery Co-operative Hospital Blood Bank,"Palissery, 670101",Thalassery,Kerala,0490 2325306,11.748758,75.486599
Kerala State Co-operative Hospital Complex and Centre for Advanced Medical Services Limited,"Pariyaram MC Campus Road, 670503",Pariyaram,Kerala,"0497 2808080, 0497 2808111",12.072392,75.294333
Yenepoya Medical College Blood Bank,"Nithyananda Nagar, Deralakatte, 575018",Mangalore,Karnataka,0824 2204668,12.81194,74.881231
Baby Memorial Hospital Blood Bank,"Indira Gandhi Road, 673004",Kozhikode,Kerala,0495 2777777,11.259595,75.792216
Sree Valsam Institute of Medical Sciences Blood Bank,"Naduvattam, Kololamba, 679576",Edappal,Kerala,"0494 2661000, 0494 2690696",10.765337,76.007335
Cannannore Co-operative Hospital Society Blood Bank,"Talap, 670101",Kannur,Kerala,"0490 2341604, 0490 2341035, 0490 2341036",11.764148,75.479831
Malabar Institute of Medical Sciences Blood Bank - Malappuram,676503,Kottakkal,Kerala,"0483 2807000, 0483 2807888",10.995804,75.994034
Rotary Campco Blood Bank,"Radhakrishna Building, Shree Radhadrishna Mandir Road, 574201",Puttur,Karnataka,0824 234242,12.760706,75.198947
D. M. Wayanad Institute of Medical Sciences Blood Bank,"Naseera Nagar, 673577",Meppadi,Kerala,04936 287000,11.559371,76.160491
MMC Hospital Blood Bank,"Modakkallur, 673321",Atholi,Kerala,0496 2701666,11.433739,75.775293
M/s. Leo Hospital Blood Bank,"The Managing Partner -  M/s. Leo Hospital, No 881 (3), 673121",Kalpetta,Kerala,"04936 202550, 04936 202711",11.604557,76.085057
M/s. Tejasvini Hospital Lions Blood Bank,"Kadri Temple Road, 575002",Mangalore,Karnataka,0824 2225994,12.880334,74.853689
Kozhikode District Co-operative Hospital Blood Bank,"Eranhipalam, 673006",Eranhipalam,Kerala,0495 2766820,11.276572,75.784673
Chigateri District Hospital Blood Bank,"Chigateri District Hospital, Chigateri, 577004",Chigateri,Karnataka,08192 272085,14.456165,75.916182
General Hospital Blood Bank,670101,Thalassery,Kerala,0490 5326050,11.747531,75.487227
Malabar Institute of Medical Sciences Blood Bank,673016,Kozhikode,Kerala,0483 2807000,11.245745,75.797985
Sri. Chamarajendra District Hospital Blood Bank,"Hospital Road, 573201",Hassan,Karnataka,08172 252330,13.004537,76.103797
District Hospital Blood Bank,"Railway Road, 670017",Kannur,Kerala,0497 2733500,11.861216,75.370639
M/s. Indian Red Cross Society Blood Bank,"1st floor, Govt Hospital Building, Muncipal Road, 576201",Kundapur,Karnataka,08254 233111,13.628482,74.690683
"District Hospital Blood Bank,Kanhangad","Chammattam Vayal, Bella (PO), 671315",Kanhangad,Kerala,0467 2204333,12.314687,75.105095
The District Surgeon - Wenlock District Hospital Blood Bank,"Hampanakata, 575001",Mangalore,Karnataka,0824 2413205,12.867384,74.843132
Saint Martin De Porres Hospital Blood Bank,670301,Cherukunnu,Kerala,"0497 2860223, 0497 2860420",11.994674,75.31285
Saint Josephs Hospital Blood Bank,680502,Choondal,Kerala,04885 237185,10.616859,76.094656
District Hospital Blood Bank Karwar,"District Hospital Premises, 581301",Karwar,Karnataka,0838 2226318,14.817283,74.12968
Jyothi Hospital Blood Bank,"Jyothi Hospital, Laila-574 214, Belthangady, 574214",Belthangady,Karnataka,0825 6233939,12.991208,75.288255
Edappal Hospital Private Limited Blood Bank,670576,Edappal,Kerala,"0494 2660200, 0494 2680788",10.782696,76.011078
Metro International Cardiac Centre Blood Bank,"Building No. 03/1020 A-M, Basement Floor (B1), Thondayad Bypass Road, Guruvayoor Appan College, 673014",Calicut,Kerala,0495 6615555,11.245438,75.836104
Red Cross Sanjeevini Blood Bank,"Ist Floor, Kshiti Complex, JPN Road, 577201",Shivamogga,Karnataka,08182 228855,13.933868,75.57183
Mallegowda District Hospital Blood Bank,"Chikkamagaluru, 577101",Chikkamagaluru,Karnataka,08262 238083,13.218016,75.251826
